id	name	label	resource	description	synonyms	pmids	taxid	xrefs	raw_id
MONDO:0032860	intellectual developmental disorder, autosomal recessive 72	Disease	MONDO		INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 72|Mental Retardation, Autosomal Recessive 72|MRT72			OMIM:618665|DOID:0080765	MONDO:0032860
MONDO:0012690	Noonan syndrome 5	Disease	MONDO	Any Noonan syndrome in which the cause of the disease is a mutation in the RAF1 gene. [MONDO:patterns/disease_series_by_gene]	Noonan syndrome 5|Noonan syndrome type 5|RAF1 gene related Noonan syndrome|Noonan syndrome caused by mutation in RAF1|NS5|RAF1 Noonan syndrome			MESH:C548083|UMLS:C1969057|NCIT:C176933|OMIM:611553|GARD:0010700|DOID:0060583	MONDO:0012690
MONDO:0011147	chromosome 18q deletion syndrome	Disease	MONDO	A condition in which some or all of the cells of the body contain extra genetic material from chromosome 18. Clinical features of this condition may include the following: spina bifida, hearing loss, cleft lip, cleft palate, undescended testes, rocker bottom feet, micrognathia, low set ears, cardiac anomalies (ventricular septal defect, atrial septal defect, patent ductus arteriosus, tetralogy of Fallot), intellectual disability, holoprosencephaly, pituitary dysplasia, seizures, autoimmune disorders, hip dysplasia, and/or congenital cataracts. [NCIT:C84522]	partial deletion of chromosome 18q|monosomy type 18q|18q deletion syndrome|chromosome 18q deletion|proximal chromosome 18q deletion syndrome|chromosome 18Q- syndrome|partial monosomy of chromosome 18q|deletion 18q syndrome|proximal 18q-|partial monosomy of the long arm of chromosome 18|partial deletion of the long arm of chromosome 18|monosomy 18q|18q-syndrome|proximal 18q deletion syndrome|proximal 18q deletion|partial deletion of the long arm of chromosome type 18|chromosome 18q deletion syndrome|18Q syndrome|deletion 18q|18Q- syndrome|monosomy 18q syndrome			DOID:0060407|MESH:C536580|OMIM:601808|UMLS:C0432443|Orphanet:1600|Orphanet:262146|GARD:0013000|ORDO:1600|SCTID:270889005|ICD-9:758.39|ICD9:758.39|GARD:0010866|NCIT:C84522|ORDO:262146	MONDO:0011147
MONDO:0011317	microcephaly, severe, with skeletal anomalies including posterior rib-Gap defects	Disease	MONDO		microcephaly, severe, with skeletal anomalies including posterior rib-Gap defects			UMLS:C1863919|OMIM:603394|MESH:C566377	MONDO:0011317
MONDO:0030899	oculocutaneous albinism type 8	Disease	MONDO		OCA8|oculocutaneous albinism, type VIII|oculocutaneous albinism, type 8			OMIM:619165|ORDO:597733|Orphanet:597733	MONDO:0030899
MONDO:0012417	heart-hand syndrome, Slovenian type	Disease	MONDO	A rare autosomal dominant form of heart-hand syndrome, first described in members of a Slovenian family, that is characterized by adult onset, progressive cardiac conduction disease, tachyarrhythmias that can lead to sudden death, dilated cardiomyopathy and brachydactyly, with the hands less severely affected than the feet. Muscle weakness and/or myopathic electromyographic findings have been observed in some cases. [Orphanet:168796]	atriodigital dysplasia, Slovenian type|heart-hand syndrome, Slovenian type|Cardiac conduction disease-dilated cardiomyopathy-brachydactyly syndrome			OMIM:610140|ORDO:168796|SCTID:721014007|Orphanet:168796|GARD:0009846|UMLS:C1857829|MESH:C535852	MONDO:0012417
MONDO:0012247	spinocerebellar ataxia type 27	Disease	MONDO	Spinocerebellar ataxia type 27 (SCA27) is a very rare subtype of type I autosomal dominant cerebellar ataxia (ADCA type I). It is characterized by early-onset tremor, dyskinesia, and slowly progressive cerebellar ataxia. [Orphanet:98764]	SCA27|spinocerebellar ataxia 27|cerebellar ataxia autosomal dominant FGF14-related|cerebellar ataxia, autosomal dominant, Fgf14-related|spinocerebellar ataxia type 27			MESH:C537204|ORDO:98764|UMLS:C4304846|OMIM:609307|UMLS:C1836383|Orphanet:98764|SCTID:719252002|DOID:0050976|GARD:0009963	MONDO:0012247
MONDO:0012043	Reis-Bucklers corneal dystrophy	Disease	MONDO	Reis-Bücklers corneal dystrophy (RBCD), also known as granular corneal dystrophy type III, is a rare form of superficial corneal dystrophy characterized by bilateral symmetrical reticular opacities in the superficial central cornea, with progressive visual impairment. [Orphanet:98961]	corneal dystrophy, geographic|Reis-Bücklers corneal dystrophy|granular corneal dystrophy, type 3|Reis Bucklers dystrophy|anterior limiting membrane dystrophy type 1|corneal dystrophy of Bowman layer type 1|atypical granular corneal dystrophy|CDB1|anterior limiting membrane dystrophy type I|corneal dystrophy of Bowman Layer, type 1|RBCD|Reis-Bucklers corneal dystrophy|corneal dystrophy Reis Bucklers type|superficial granular corneal dystrophy|corneal dystrophy geographic|corneal dystrophy, REIS-Bucklers type|CDRB|Reis Bucklers corneal dystrophy|granular corneal dystrophy type III|corneal dystrophy of Bowman layer type I|geographic corneal dystrophy|granular corneal dystrophy type 3			DOID:0060453|ICD-9:371.52|GARD:0009276|ORDO:98961|Orphanet:98961|UMLS:C0339278|MESH:C535476|SCTID:231930000|OMIM:608470|ICD9:371.52	MONDO:0012043
MONDO:0020210	syndromic hyperopia	Disease	MONDO	A hyperopia that is part of a larger syndrome. [MONDO:patterns/syndromic]	syndromic hyperopia|syndrome associated with hyperopia			ORDO:98622|UMLS:CN227820|Orphanet:98622	MONDO:0020210
MONDO:0021310	malignant tumor of neck	Disease	MONDO	A cancer that involves the neck. [MONDO:patterns/location]	cancer of the neck|malignant tumor of the neck|neck cancer|malignant neoplasm of neck|malignant neck neoplasm|malignant neoplasm of the neck|malignant neck tumor|cancer of neck			SCTID:363489000|UMLS:C0746787|NCIT:C4940	MONDO:0021310
MONDO:0008509	distal symphalangism	Disease	MONDO	Distal symphalangism is a very rare bone disorder characterized by ankylosis of the distal interphalangeal joints of the hands and/or feet. [Orphanet:3248]	distal symphalangism|Sym2|distal symphalangism (disease)|symphalangism, distal			UMLS:C1861401|Orphanet:3248|HP:HP:0100263|ORDO:3248|OMIM:185700|MESH:C566099|HP:0100263	MONDO:0008509
MONDO:0007396	dysostosis, Stanescu type	Disease	MONDO	Stanescu type dysostosis is a rare form of osteosclerosis. [Orphanet:1798]	dysostosis Stanescu type|autosomal dominant osteosclerosis, Stanescu type|craniofacial dysostosis-diaphyseal hyperplasia syndrome|craniofacial dysostosis with diaphyseal hyperplasia|osteosclerosis, Stanescu type|Stanescu osteosclerosis			ORDO:1798|MESH:C562974|OMIM:122900|GARD:0002016|UMLS:C0432263|SCTID:254124008|Orphanet:1798	MONDO:0007396
MONDO:0013524	bleeding diathesis due to thromboxane synthesis deficiency	Disease	MONDO		bleeding disorder, susceptibility to, due to defective platelet thromboxane A2 receptor|BDPLT13|susceptibility to platelet-type bleeding disorder 13|bleeding disorder, platelet-type, 13, susceptibility to			OMIM:614009|Orphanet:220443|ORDO:220443	MONDO:0013524
MONDO:0005322	ulna fracture	Disease	MONDO	Fractures of the larger bone of the forearm. [MESH:D014458]	ulna bone fracture|bone fracture of ulna			EFO:0003950|SCTID:54556006|MESH:D014458	MONDO:0005322
MONDO:0006422	small intestinal tubulovillous adenoma	Disease	MONDO	A neoplasm that arises from the glandular epithelium of the small intestine. It is characterized by tubular and villous architectural patterns. The neoplastic glandular cells have dysplastic features. [NCIT:C43553]				UMLS:C1710113|NCIT:C43553|EFO:1000539	MONDO:0006422
MONDO:0042458	Trichinella spiralis infectious disease	Disease	MONDO	An disease or disorder caused by infection with Trichinella spiralis. [MONDO:patterns/specific_infectious_disease_by_agent]	Trichinella spiralis caused disease or disorder|trichinellosis caused by Trichinella spiralis|Trichinella spiralis disease or disorder|trichiniasis caused by Trichinella spiralis|trichinosis caused by Trichinella spiralis|trichinelliasis caused by Trichinella spiralis|infection caused by larvae of Trichinella spiralis|infection by larvae of Trichinella spiralis			SCTID:88264003|UMLS:C3887668	MONDO:0042458
MONDO:0007522	Ehlers-Danlos syndrome, classic type	Disease	MONDO	Ehlers-Danlos syndrome, classic type (cEDS) is a form of Ehlers-Danlos syndrome that affects the connective tissue and is characterized by skin hyperextensibility, widened atrophic scars and joint hypermobility. [Orphanet:287]	EDS, classic type|Ehlers-Danlos syndrome type 1 (formerly)|EDS II|Ehlers-Danlos syndrome, classic type|Ehlers Danlos syndrome, mitis type, formerly|Ehlers-Danlos syndrome type 2 (formerly)|Ehlers-Danlos syndrome, type II|Ehlers-Danlos syndrome, type I, formerly|EDS I, formerly|classical Ehlers-Danlos syndrome|Ehlers-Danlos syndrome, type II, formerly|Ehlers-Danlos syndrome classical type|classic Ehlers-Danlos syndrome|Ehlers Danlos syndrome, mitis type|Ehlers-Danlos syndrome, type I|Ehlers-Danlos syndrome, severe classic type, formerly|Ehlers-Danlos syndrome, gravis type|Ehlers-Danlos syndrome, gravis type, formerly|EDS II, formerly|Ehlers Danlos syndrome, mild classic type|Ehlers-Danlos syndrome type 2|Ehlers-Danlos syndrome, severe classic type|Ehlers Danlos syndrome, mild classic type, formerly|Ehlers-Danlos syndrome classic type|EDS I			ORDO:287|GARD:0002088|UMLS:C4225429|UMLS:C0220679|SCTID:715318006|Orphanet:287	MONDO:0007522
MONDO:0043193	richieri-costa guion-almeida cohen syndrome	Disease	MONDO		overgrowth - craniosynostosis - arthrogryposis|acrofacial dysostosis Richieri Costa Guion-Almeida type|Richieri-costa Guion-Almeida Cohen syndrome|Richieri Costa Guion-Almeida dwarfism			MESH:C535676|UMLS:C2930979|GARD:0004712	MONDO:0043193
MONDO:0013568	sick sinus syndrome 3, susceptibility to	Disease	MONDO	Any familial sick sinus syndrome in which the cause of the disease is a mutation in the MYH6 gene. [MONDO:patterns/disease_series_by_gene]	susceptibility to sick sinus syndrome 3|MYH6 familial sick sinus syndrome|familial sick sinus syndrome caused by mutation in MYH6|SSS3|sick sinus syndrome 3, susceptibility to|sick sinus syndrome 3			OMIM:614090	MONDO:0013568
MONDO:0013398	acne inversa, familial, 3	Disease	MONDO	Any familial acne inversa in which the cause of the disease is a mutation in the PSEN1 gene. [MONDO:patterns/disease_series_by_gene]	acne inversa, familial, type 3|PSEN1 familial acne inversa|ACNINV3|familial acne inversa caused by mutation in PSEN1|acne inversa, familial, 3			OMIM:613737|UMLS:C3151038	MONDO:0013398
MONDO:0016016	toluene embryopathy	Disease	MONDO	Toluene embryopathy is a neurodevelopmental teratologic syndrome due to prenatal exposure to toluene. The disease is characterized by prematurity, low birth weight, dysmorphic features (short palpebral fissures, deep set eyes, low set ears, mid-facial hypoplasia, flat nasal bridge, thin upper lip, micrognathia, spatulate fingertips and small fingernails), central nervous system dysfunctions (intellectual disability, microcephaly, language impairment, hyperactivity, visual dysfunction) and postnatal growth delay. Prenatal exposure to toluene occurs as a result of incidental occupational exposure or solvent abuse during pregnancy. The features of toluene embryopathy often overlap with those seen in fetal alcohol syndrome. [Orphanet:1920]	microcephaly, central nervous system dysfunction, minor craniofacial and limb anomalies, and variable growth deficiency|Hersh Podruch Weisskopk syndrome|toluene embryopathy			GARD:0002672|MESH:C538114|ORDO:1920|UMLS:C2931737|Orphanet:1920	MONDO:0016016
MONDO:0014498	familial cold autoinflammatory syndrome 4	Disease	MONDO	Any familial cold autoinflammatory syndrome in which the cause of the disease is a mutation in the NLRC4 gene. [MONDO:patterns/disease_series_by_gene]	familial cold autoinflammatory syndrome type 4|NLRC4 familial cold autoinflammatory syndrome|NLRC4-related familial cold autoinflammatory syndrome|familial cold autoinflammatory syndrome 4|FCAS4|familial cold autoinflammatory syndrome caused by mutation in NLRC4			Orphanet:576349|ORDO:576349|OMIM:616115|UMLS:C4015276|DOID:0090065	MONDO:0014498
MONDO:0006109	malignant biphasic mesothelioma	Disease	MONDO	A malignant neoplasm arising from mesothelial cells in the pleura. It is characterized by the presence of neoplastic epithelioid cells and sarcomatoid features. [NCIT:C4282]	mesothelioma, biphasic, malignant|mixed mesothelioma|malignant mixed mesothelioma|mesothelioma, biphasic, malignant (morphologic abnormality)|malignant biphasic mesothelioma|malignant biphasic mesothelioma, malignant|biphasic mesothelioma			EFO:1000124|UMLS:C0334515|ICDO:9053/3|DOID:4486|NCIT:C4282	MONDO:0006109
MONDO:0014668	cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency 4	Disease	MONDO	Any fatal infantile encephalocardiomyopathy in which the cause of the disease is a mutation in the COA6 gene. [MONDO:patterns/disease_series_by_gene]	cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency 4|mitochondrial complex IV deficiency, nuclear type 13|COA6 fatal infantile encephalocardiomyopathy|cardioencephalomyopathy, fatal infantile, due to cytochrome C oxidase deficiency type 4|fatal infantile encephalocardiomyopathy caused by mutation in COA6|CEMCOX4			OMIM:616501|DOID:0080360|UMLS:C4225304	MONDO:0014668
MONDO:0007209	Weismann-Netter syndrome	Disease	MONDO	Weismann-Netter syndrome is a rare, genetic, primary, bent bone dysplasia characterized by anterior diaphyseal bowing of the tibia and fibula, broadening of the fibula, posterior cortical thickening of both bones and short stature. Additional skeletal abnormalities include scoliosis with marked lumbar lordosis, horizontal sacrum and square iliac wings and/or, less frequently, vertebral malformations, abnormal shape of the clavicles and ribs, calvarial hyperostosis and delayed eruption of permanent teeth. Delayed ambulation is also frequently associated. [Orphanet:3344]	Weismann-Netter-Stuhl syndrome|Weismann-Netter syndrome|WEISMANN-NETTER syndrome|anterior bowing of legs with dwarfism|bowing of legs, anterior with dwarfism|Toxopachyosteose Diaphysaire Tibio-Peroniere|WNS|Weismann Netter syndrome|bowing of legs, anterior, with dwarfism			SCTID:715532007|UMLS:C1862172|Orphanet:3344|OMIM:112350|GARD:0005232|MESH:C537082|ORDO:3344	MONDO:0007209
MONDO:0007736	HPA 1 Recognition polymorphism, beta-globin-related	Disease	MONDO		HPA I RECOGNITION polymorphism, BETA-globin-RELATED|HPA1|HPA I RECOGNITION polymorphism, BETA-globin-related|restriction fragment length polymorphism, sickle cell Anemia-related			OMIM:143020	MONDO:0007736
MONDO:0007566	multiple self-healing squamous epithelioma	Disease	MONDO	Multiple self-healing squamous epithelioma (also known as Ferguson-Smith disease (FSD)) is a rare inherited skin cancer syndrome characterized by the development of multiple locally invasive skin tumors resembling keratoacanthomas of the face and limbs which usually heal spontaneously after several months leaving pitted scars. [Orphanet:65748]	ESS1 (formerly)|Ferguson-Smith disease|multiple keratoacanthoma, Ferguson-Smith type|Ferguson-Smith-type epithelioma|multiple self-healing epithelioma of Ferguson-Smith|Ferguson-Smith tumor|ESS1|self-healing squamous epithelioma type 1|multiple self-healing squamous epithelioma|multiple self healing squamous epithelioma|Ferguson-Smith type epithelioma|multiple self-healing squamous epithelioma, susceptibility to|familial primary self-healing squamous epithelioma of the skin, Ferguson-Smith type|MSSE|multiple self healing epithelioma of Ferguson-Smith|ESS1, formerly			GARD:0003090|SCTID:254659009|OMIM:132800|Orphanet:65748|ORDO:65748|DOID:5585|UMLS:C0345982|NCIT:C4461|MESH:C536150	MONDO:0007566
MONDO:0018589	AApoAIV amyloidosis	Disease	MONDO		apolipoprotein A-IV amyloidosis			ORDO:439232|Orphanet:439232|DOID:0080927	MONDO:0018589
MONDO:0024662	colorectal tubulovillous adenoma	Disease	MONDO	A neoplasm that arises from the glandular epithelium of the colonic and rectal mucosa. It is characterized by tubular and villous architectural patterns. The neoplastic glandular cells have dysplastic features. [NCIT:C5675]	tubulovillous adenoma of large bowel|large bowel tubulovillous adenoma|colorectal tubulovillous adenoma|tubulovillous adenoma of the large bowel			UMLS:C1333118|NCIT:C5675	MONDO:0024662
MONDO:0014081	severe combined immunodeficiency due to CARD11 deficiency	Disease	MONDO	Severe combined immunodeficiency due to CARD11 deficiency is a rare combined T and B cell immunodeficiency characterized by normal numbers of T and B lymphocytes, increased numbers of transitional B cells and hypo- to agammaglobulinemia, decreased numbers of regulatory T cells and defects in T-cell functions. It presents with severe susceptibility to infections, including opportunistic infections. [Orphanet:357237]	IMD11A|immunodeficiency 11|immunodeficiency 11A|CARD11 immunodeficiency|immunodeficiency type 11|IMD11|SCID due to CARD11 deficiency			OMIM:615206|Orphanet:357237|ORDO:357237|UMLS:C3554686|DOID:0111957	MONDO:0014081
MONDO:0014421	glucocorticoid resistance	Disease	MONDO		glucocorticoid receptor deficiency|Grl deficiency|GCCR|Gccr deficiency|Gcr deficiency|glucocorticoid resistance, generalized|cortisol resistance from glucocorticoid receptor defect			GARD:0002499|UMLS:C1841972|ORDO:786|OMIM:615962|Orphanet:786|MESH:C564221	MONDO:0014421
MONDO:0014251	melioidosis, susceptibility to	Disease	MONDO		melioidosis, resistance to|susceptibility to melioidosis|melioidosis, susceptibility to			OMIM:615557	MONDO:0014251
MONDO:0023119	familial myelofibrosis	Disease	MONDO					MESH:C536848|GARD:0008516|UMLS:C2931351	MONDO:0023119
MONDO:0004088	cervical basaloid carcinoma	Disease	MONDO	An aggressive variant of cervical squamous cell carcinoma characterized by the presence of nests of malignant basaloid squamous cells with scant amount of cytoplasm. [NCIT:C40189]	cervical basaloid squamous cell carcinoma|cervical basaloid carcinoma			DOID:7046|NCIT:C40189|UMLS:C1511063	MONDO:0004088
